seller-sku	asin1	item-name	item-description	listing-id	price	quantity	open-date	product-id-type	item-note	item-condition	will-ship-internationally	expedited-shipping	product-id	pending-quantity	fulfillment-channel	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5	optional-payment-type-exclusion	scheduled-delivery-sku-set	merchant-shipping-group	standard-price-point	ProductTaxCode	status	minimum-seller-allowed-price	maximum-seller-allowed-price	Progressive Price Type	Progressive Lower Bound 1	Progressive Price 1	Progressive Lower Bound 2	Progressive Price 2	Progressive Lower Bound 3	Progressive Price 3	maximum-retail-price
0.5MM-25FT-STRIP-0.75INCH-BRASS-ST-1	B0G9QJT9TG	TREEMAISON CORONATING Homes Vastu Brass Strip | Width- 0.75 Inch | Thickness - 0.5mm | Length- 25 Feet Approx | Zone Balancing | Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1220F6WMFY6	1999	10	2025-12-20 15:38:23 IST	1		11			B0G9QJT9TG	0	DEFAULT															Template		A_GEN_STANDARD	Active	1799.0	2398.0								2199.0
0.5MM-25FT-STRIP-0.75INCH-COPPER-ST-1	B0G9QVVFRY	TREEMAISON CORONATING Homes Vastu Copper Strip | Width- 0.75 Inch | Thickness - 0.5mm | Length- 25 Feet Approx | Zone Balancing |Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1220F6TWM5X	1999	10	2025-12-20 15:38:22 IST	1		11			B0G9QVVFRY	0	DEFAULT	1997.0														Template			Active	1799.0	2398.0								2199.0
0.5MM-25FT-STRIP-0.75INCH-SS-ST-1	B0G9RRRHBD	TREEMAISON CORONATING Homes Vastu S.Steel Strip | Width- 0.75 Inch | Thickness - 0.5mm | Length- 25 Feet Approx | Zone Balancing |Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1220F6TKRQF	1199	10	2025-12-20 15:38:23 IST	1		11			B0G9RRRHBD	0	DEFAULT	1197.0														Template		A_GEN_STANDARD	Active	1079.0	1438.0								1499.0
0.5MM-25FT-STRIP-1 INCH-ALUM-ST-1	B0GBVVPPPS	TREEMAISON CORONATING Homes Vastu Aluminium Strip | Width- 1 Inch | Thickness - 0.5mm | Length- 25 Feet Approx | Zone Balancing |Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1222FAP2375	1499	10	2025-12-22 11:37:08 IST	1		11			B0GBVVPPPS	0	DEFAULT	1497.0														Template		A_GEN_STANDARD	Active	1349.0	1798.0								1799.0
0.5MM-25FT-STRIP-1 INCH-BRASS-ST-1	B0G9R9FWFD	TREEMAISON CORONATING Homes Vastu Brass Strip | Width- 1 Inch | Thickness - 0.5mm | Length- 25 Feet Approx | Zone Balancing |Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1220F6U11TB	2699	10	2025-12-20 15:38:26 IST	1		11			B0G9R9FWFD	0	DEFAULT	2697.0														Template			Active	2429.0	3238.0								2999.0
0.5MM-25FT-STRIP-1 INCH-COPPER-ST-1	B0G9QMWWB9	TREE MAISON CORONATING HOMES Vastu Copper Strip | Width- 1 Inch | Thickness - 0.5mm | Length- 25 Feet Approx | Zone Balancing |Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1220F6WMKBW	2699		2025-12-20 15:38:25 IST	1		11			B0G9QMWWB9		AMAZON_IN	2697.0														Template		A_GEN_STANDARD	Active	2429.0	3238.0								2999.0
0.5MM-25FT-STRIP-1 INCH-SS-ST-1	B0G9QDKT9R	TREEMAISON CORONATING Homes Vastu S.Steel Strip | Width- 1 Inch | Thickness - 0.5mm | Length- 25 Feet Approx | Zone Balancing | Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1220F6W3OR9	1499	10	2025-12-20 15:38:26 IST	1		11			B0G9QDKT9R	0	DEFAULT	1497.0														Template			Active	1349.0	1798.0								1799.0
0.5MM-8FT-STRIP-0.5INCH-ALUM-ST-1	B0G9QMJRYB	TREEMAISON CORONATING Homes Vastu Aluminium Strip | Width- 0.5 Inch | Thickness - 0.5mm | Length- 8 Feet Approx | Zone Balancing | Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1220F6PD764	299	20	2025-12-20 15:38:13 IST	1		11			B0G9QMJRYB	0	DEFAULT	297.0														Template			Active	269.0	358.0								599.0
0.5MM-8FT-STRIP-0.5INCH-BRASS-ST-1	B0G9QT9SZN	TREEMAISON CORONATING Homes Vastu Brass Strip | Width- 0.5 Inch | Thickness - 0.5mm | Length- 8 Feet Approx | Zone Balancing |Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1220F6QJA0I	499		2025-12-20 15:38:12 IST	1		11			B0G9QT9SZN		AMAZON_IN	497.0														Template			Active	449.0	598.0								799.0
0.5MM-8FT-STRIP-0.5INCH-COPPER-ST-1	B0G9Q64TXD	TREEMAISON CORONATING Homes Vastu Copper Strip | Width- 0.5 Inch | Thickness - 0.5mm | Length- 8 Feet Approx | Zone Balancing |Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1220F6T4BQR	499		2025-12-20 15:38:11 IST	1		11			B0G9Q64TXD		AMAZON_IN	497.0														Template		A_GEN_STANDARD	Active	449.0	598.0								799.0
0.5MM-8FT-STRIP-0.5INCH-SS-ST-1	B0G9QTKLWR	TREEMAISON CORONATING Homes Vastu S.Steel Strip | Width- 0.5 Inch | Thickness - 0.5mm | Length- 8 Feet Approx | Zone Balancing |Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1220F6MUYQS	299	10	2025-12-20 15:38:13 IST	1		11			B0G9QTKLWR	0	DEFAULT	297.0														Template		A_GEN_STANDARD	Active	269.0	358.0								599.0
0.5MM-8FT-STRIP-0.75INCH-ALUM-ST-1	B0GBVS27KH	TREE MAISON CORONATING HOMES Vastu Aluminium Strip | Width- 0.75 Inch | Thickness - 0.5mm | Length- 8 Feet Approx | Zone Balancing |Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1222FARMPCO	399	20	2025-12-22 11:36:56 IST	1		11			B0GBVS27KH	0	DEFAULT	397.0														Template		A_GEN_STANDARD	Active	359.0	478.0								699.0
0.5MM-8FT-STRIP-0.75INCH-BRASS-ST-1	B0G9R3DV2V	TREEMAISON CORONATING Homes Vastu Brass Strip | Width- 0.75 Inch | Thickness - 0.5mm | Length- 8 Feet Approx | Zone Balancing |Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1220F6PCSLJ	699	10	2025-12-20 15:38:15 IST	1		11			B0G9R3DV2V	0	DEFAULT	697.0														Template			Active	629.0	838.0								999.0
0.5MM-8FT-STRIP-0.75INCH-COPPER-ST-1	B0G9R68KGW	TREEMAISON CORONATING Homes Vastu Copper Strip | Width- 0.75 Inch | Thickness - 0.5mm | Length- 8 Feet Approx | Zone Balancing |Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1220F6S4N9P	699	10	2025-12-20 15:38:14 IST	1		11			B0G9R68KGW	0	DEFAULT	697.0														Template			Active	629.0	838.0								999.0
0.5MM-8FT-STRIP-0.75INCH-SS-ST-1	B0G9QMK86D	TREEMAISON CORONATING Homes Vastu S.Steel Strip | Width- 0.75 Inch | Thickness - 0.5mm | Length- 8 Feet Approx | Zone Balancing |Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	0415H77TBBV	399		2026-04-15 09:55:50 IST	1		11			B0G9QMK86D		AMAZON_IN	397.0														Template		A_GEN_STANDARD	Active	359.0	478.0								699.0
0.5MM-8FT-STRIP-1 INCH-ALUM-ST-1	B0GBTRBYLR	TREEMAISON CORONATING Homes Vastu Aluminium Strip | Width- 1 Inch | Thickness - 0.5mm | Length- 8 Feet Approx | Zone Balancing | Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1222FAIP5V4	499	20	2025-12-22 11:36:59 IST	1		11			B0GBTRBYLR	0	DEFAULT	497.0														Template			Active	449.0	598.0								799.0
0.5MM-8FT-STRIP-1 INCH-BRASS-ST-1	B0G9Q6S44L	TREEMAISON CORONATING Homes Vastu Brass Strip | Width- 1 Inch | Thickness - 0.5mm | Length- 8 Feet Approx | Zone Balancing | Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1220F6MPHFA	899	10	2025-12-20 15:38:17 IST	1		11			B0G9Q6S44L	0	DEFAULT	897.0														Template			Active	809.0	1078.0								1199.0
0.5MM-8FT-STRIP-1 INCH-COPPER-ST-1	B0G9RMJZ48	TREEMAISON CORONATING Homes Vastu Copper Strip | Width- 1 Inch | Thickness - 0.5mm | Length- 8 Feet Approx | Zone Balancing |Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1220F6UTLRK	899	10	2025-12-20 15:38:17 IST	1		11			B0G9RMJZ48	0	DEFAULT	897.0														Template		A_GEN_STANDARD	Active	809.0	1078.0								1199.0
0.5MM-8FT-STRIP-1 INCH-SS-ST-1	B0G9RGV9YC	TREEMAISON CORONATING Homes Vastu S.Steel Strip | Width- 1 Inch | Thickness - 0.5mm | Length- 8 Feet Approx | Zone Balancing |Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1220F6UG694	499	10	2025-12-20 15:38:18 IST	1		11			B0G9RGV9YC	0	DEFAULT	497.0														Template			Active	449.0	598.0								799.0
0.75-INCH-ALL-VASTU-STRIP-SET-5	B0CH84S39G	TREE MAISON CORONATING HOMES Vastu Set-5 of All Metal Strips | Width-0.75 Inch | Thickness -0.3mm | Length- 8 Feet Approx | Zone Balancing |Toilet Correction | Vastu Metal Strips | Pack of 5	The purpose of this metal strips technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	0904AHD342I	1349		2023-09-04 12:08:41 IST	1		11			B0CH84S39G		AMAZON_IN	1349.0														Template		A_GEN_STANDARD	Active	1214.0									1999.0
0.75IN-ALU-STRIP-.COM	B0C818ZPMF	TREE MAISON CORONATING HOMES Vastu Aluminium Strip | 0.75 INCH | Pack of 4 | Aluminium Strip for Vastu | Vastu Strip Remedy | Width-18mm, Thickness-0.3mm, Length-8 Feet Approx	The purpose of this metal strips technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	0614A7B282Q	799		2023-06-14 14:28:18 IST	1		11			B0C818ZPMF		AMAZON_IN	797.0														Template		A_GEN_STANDARD	Active	639.0	934.0								1499.0
0.75IN-BRASS-STRIP-.COM	B0C818Y4K7	TREE MAISON CORONATING HOMES Vastu Brass Strip | 0.75 INCH | Pack of 4 | Brass Strip Vastu | Vastu Strip Remedy | Width-18mm, Thickness-0.3mm, Length-8 Feet Approx	The purpose of this metal strips technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	0614A7KEAW0	1049		2023-06-14 14:28:18 IST	1		11			B0C818Y4K7		AMAZON_IN	1047.0														Template		A_GEN_STANDARD	Active	871.0	1154.0								1999.0
0.75IN-COPPER-STRIP-.COM	B0C81C26MW	TREE MAISON CORONATING HOMES Vastu Copper Strip | 0.75 INCH | Pack of 4 | Copper Strip for Vastu | Vastu Strip Remedy | Width-18mm, Thickness-0.3mm, Length-8 Feet Approx	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	0328H48CZKT	2249		2026-03-28 12:43:40 IST	1		11			B0C81C26MW		AMAZON_IN	2249.0														Template		A_GEN_STANDARD	Active	1999.0	2499.0								2999.0
0.75IN-IRON-STRIP-.COM	B0C8188QVH	TREE MAISON CORONATING HOMES Iron Strip | 0.75 INCH | Pack of 4 | Iron Strip for Vastu | Vastu Remedy | Width-18mm, Thickness-0.3mm, Length-8 Feet Approx	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	0310HBOYO04	799		2026-03-11 04:53:19 IST	1		11			B0C8188QVH		AMAZON_IN	797.0														Template		A_GEN_STANDARD	Active	693.0	949.0								1499.0
0.75IN-S.STEEL-STRIP-.COM	B0C81652RX	TREE MAISON CORONATING HOMES Vastu Stainless Steel Strip | Width- 0.75 Inch | Thickness - 0.3mm | Length- 8 Feet Approx | Strip for Toilet Correction | Stainless Steel Strip for Vastu | Pack of 4	The purpose of this metal strips technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	0614A7AZSHL	799	97	2023-06-14 14:28:18 IST	1		11			B0C81652RX	0	DEFAULT	797.0														Template		A_GEN_STANDARD	Active	639.0	934.0								1100.0
0.75INCH-ALU-STRIP-ST-2	B0BVHXD3BC	TREE MAISON CORONATING HOMES Vastu Aluminium Strip | Width- 0.75 Inch | Thickness - 0.3mm | Length- 8 Feet Approx. | Zone Balancing |Toilet Correction | Aluminium Strip for Vastu | Pack of 2	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	0414H2PXQ3T	399	93	2026-04-14 12:58:44 IST	1		11			B0BVHXD3BC	0	DEFAULT	398.0														Template		A_GEN_STANDARD	Active	355.0	479.0								999.0
0.75INCH-IRON-STRIP-ST-2	B0BVHY1XY5	TREE MAISON CORONATING HOMES Vastu Iron Strip | Width- 0.75 Inch | Thickness - 0.3mm | Length- 8 Feet Approx | Vastu Remedies for Entrance, Toilet Correction | Iron Strip for Vastu | Pack of 2	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	0211A8DO3NY	399		2023-02-11 14:58:38 IST	1		11			B0BVHY1XY5		AMAZON_IN	398.0														Template		A_GEN_STANDARD	Active	359.0	479.0								1199.0
1 INCH ALL VASTU STRIP SET-5	B0CGM617RZ	TREE MAISON CORONATING HOMES Vastu Set-5 of All Metal Strips | Width-1 Inch | Thickness - 0.3mm | Length- 8 Feet Approx | Zone Balancing | Toilet Correction | Vastu Metal Strips | Pack of 5	The purpose of this metal strips technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	0825AS6Y3EK	1399		2023-08-25 17:26:53 IST	1		11			B0CGM617RZ		AMAZON_IN	1399.0														Template		A_GEN_STANDARD	Active	1218.0									2199.0
1''-COPPER-8FT-STRIP-0.3MM	B09NPZ31RR	BRONGS Vastu Copper Strip | Width- 1 Inch | Thickness - 0.3mm | Length- 8 Feet Approx | Zone Balancing |Toilet Correction | Main Entrance | Copper Strip for Vastu | Pack of 1		0927FCGL17X	399	46	2025-09-27 13:32:57 IST	1		11			B09NPZ31RR	0	DEFAULT															Template			Active										599.0
1''-GREEN-TAPE	B09KXWYYGB	TREEMAISON Vastu Green Tape | Size - 1 Inch (24 mm) Approx | Length- 20 Meter (Approx) | Vastu Tape Remedy for Toilet | Vastu Tape for Main Door Entrance | Tape Remedy |Pack of 1		0927FCJLD26	149	92	2025-09-27 13:28:15 IST	1		11			B09KXWYYGB	0	DEFAULT															Template			Active										499.0
1-INCH-ALUMINIUM-STRIP-ST1	B09DCJB7QV	Shubh Sanket Vastu Aluminium Strip 1 inch (Mahavastu Remedies) (8 feet) (1 Strip Roll),Silver	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by pasting/install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1018YJAOB7B	299		2021-10-18 14:10:41 IST	1		11			B09DCJB7QV		AMAZON_IN	297.0														Migrated Template		A_GEN_STANDARD	Active	239.0	462.0								999.0
1-INCH-CITRINE-PYRAMID-ST-1	B0G6514K7H	TREE MAISON CORONATING HOMES Citirine Crystal Pyramid | 1 Inch | Vastu Correction | Reiki Crystal Pyramid for Positive, Meditation| Home & Office Decor |Pack of 1	we are presenting you the crystal pyramid from TREEMAISON CORNATING HOMES , Unleash the power of abundance and prosperity with our Crystals Pyramid. Crafted with precision and infused with positive energy, this pyramid serves as a powerful tool to manifest wealth and financial abundance in your life.	1210F6LZJ55	199	20	2025-12-10 16:47:12 IST	1		11			B0G6514K7H	0	DEFAULT	197.0														Template			Active	179.0	218.0								699.0
1-INCH-CITRINE-PYRAMID-ST-3	B0G6587QJ2	TREE MAISON CORONATING HOMES Citirine Crystal Pyramid | 1 Inch | Vastu Correction | Reiki Crystal | Crystal Pyramid for Positive, Meditation | Home & Office Decor |Pack of 3	we are presenting you the crystal pyramid from TREEMAISON CORNATING HOMES , Unleash the power of abundance and prosperity with our Crystals Pyramid. Crafted with precision and infused with positive energy, this pyramid serves as a powerful tool to manifest wealth and financial abundance in your life.	1210F6YAOIN	649	19	2025-12-10 16:47:14 IST	1		11			B0G6587QJ2	0	DEFAULT	647.0														Template			Active	584.0	778.0								999.0
1-INCH-CLEAR-QUARTZ-PYRAMID-ST-1	B0G64SKDGN	TREE MAISON CORONATING HOMES Clear Quartz Crystal Pyramid | 1 Inch | Vastu Correction | Reiki Crystal Pyramid for Positive,Meditation | Home & Office Decor |Pack of 1	we are presenting you the crystal pyramid from TREEMAISON CORNATING HOMES , Unleash the power of abundance and prosperity with our Crystals Pyramid. Crafted with precision and infused with positive energy, this pyramid serves as a powerful tool to manifest wealth and financial abundance in your life.	1210F6V7OAU	249		2025-12-10 16:47:13 IST	1		11			B0G64SKDGN		AMAZON_IN	247.0														Template			Active	219.0	399.0								599.0
1-INCH-CLEAR-QUARTZ-PYRAMID-ST-3	B0G64ZNYT3	TREE MAISON CORONATING HOMES Clear Quartz Crystal Pyramid | 1 Inch | Vastu Correction & Reiki | Crystal Pyramid for Positive,Meditation| Home & Office Decor |Pack of 3	we are presenting you the crystal pyramid from TREEMAISON CORNATING HOMES , Unleash the power of abundance and prosperity with our Crystals Pyramid. Crafted with precision and infused with positive energy, this pyramid serves as a powerful tool to manifest wealth and financial abundance in your life.	1210F6WB2ON	499		2025-12-10 16:47:15 IST	1		11			B0G64ZNYT3		AMAZON_IN	497.0														Template		A_GEN_JEWELLERY	Active	449.0	598.0								999.0
1-INCH-ROSE-QUARTZ-PYRAMID-ST-1	B0G64YK1TV	TREE MAISON CORONATING HOMES Rose Quartz Crystal Pyramid | 1 Inch |Vastu Correction | Reiki Crystal Pyramid for Positive, Meditation| Home & Office Decor |Pack of 1	we are presenting you the crystal pyramid from TREEMAISON CORNATING HOMES , Unleash the power of abundance and prosperity with our Crystals Pyramid. Crafted with precision and infused with positive energy, this pyramid serves as a powerful tool to manifest wealth and financial abundance in your life.	1210F6YCGFQ	199		2025-12-10 16:47:13 IST	1		11			B0G64YK1TV		AMAZON_IN	197.0														Template			Active	179.0	238.0								599.0
